Subject,Level,Count
Biology,Higher Level,152
Biology,Standard Level,63
Business management,Higher Level,58
Business management,Standard Level,37
Chemistry,Higher Level,134
Chemistry,Standard Level,80
Computer science,Higher Level,35
Computer science,Standard Level,15
Dance,Higher Level,3
Dance,Standard Level,1
Design technology,Higher Level,6
Design technology,Standard Level,3
ES&S,Higher Level,1
ES&S,Standard Level,54
Economics,Higher Level,102
Economics,Standard Level,54
Geography,Higher Level,36
Geography,Standard Level,25
Global politics,Higher Level,28
Global politics,Standard Level,9
History,Higher Level,114
History,Standard Level,47
ITGS,Higher Level,3
ITGS,Standard Level,5
Language A: language and literature,Higher Level,178
Language A: language and literature,Standard Level,174
Language A: literature,Higher Level,96
Language A: literature,Standard Level,94
Language B,Higher Level,115
Language B,Standard Level,209
Language ab inito,Higher Level,3
Language ab inito,Standard Level,111
Latin or Classical Greek,Higher Level,5
Latin or Classical Greek,Standard Level,7
Literature and performance,Standard Level,2
Mathematics: analysis and approaches,Higher Level,152
Mathematics: analysis and approaches,Standard Level,172
Mathematics: applications and interpretation,Higher Level,45
Mathematics: applications and interpretation,Standard Level,121
Music,Higher Level,13
Music,Standard Level,4
Philosophy,Higher Level,11
Philosophy,Standard Level,13
Physics,Higher Level,131
Physics,Standard Level,66
Psychology,Higher Level,80
Psychology,Standard Level,41
Social and cultural anthropology,Higher Level,7
Social and cultural anthropology,Standard Level,4
"Sports, exercise and health science",Higher Level,5
"Sports, exercise and health science",Standard Level,9
Theatre,Higher Level,10
Theatre,Standard Level,2
Visual Arts,Higher Level,23
Visual Arts,Standard Level,12
World religions,Higher Level,2
World religions,Standard Level,2
